,Date,Open,High,Low,Close
0,2021-07-15 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
1,2021-07-16 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
2,2021-07-17 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
3,2021-07-18 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
4,2021-07-19 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
5,2021-07-20 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
6,2021-07-21 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
7,2021-07-22 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
8,2021-07-23 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
9,2021-07-24 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
10,2021-07-25 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
11,2021-07-26 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
12,2021-07-27 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
13,2021-07-28 00:00:00,3.549999952316284,3.740000009536743,3.515000104904175,3.5399999618530273
